index,tag,depth,char_count,word_count,text
0,title,3,7,1,Pornhub
1,a,4,15,3,Notice to Users
2,span,5,19,3,"© Pornhub.com, 2026"
3,span,6,10,2,English ?>
4,li,7,7,1,English
5,button,8,7,1,English
6,span,9,7,1,English
7,li,7,9,1,Bulgarian
8,button,8,9,1,Bulgarian
9,span,9,9,1,Bulgarian
10,li,7,8,1,Croatian
11,button,8,8,1,Croatian
12,span,9,8,1,Croatian
13,li,7,5,1,Czech
14,button,8,5,1,Czech
15,span,9,5,1,Czech
16,li,7,6,1,Danish
17,button,8,6,1,Danish
18,span,9,6,1,Danish
19,li,7,5,1,Dutch
20,button,8,5,1,Dutch
21,span,9,5,1,Dutch
22,li,7,8,1,Estonian
23,button,8,8,1,Estonian
24,span,9,8,1,Estonian
25,li,7,7,1,Finnish
26,button,8,7,1,Finnish
27,span,9,7,1,Finnish
28,li,7,6,1,French
29,button,8,6,1,French
30,span,9,6,1,French
31,li,7,6,1,German
32,button,8,6,1,German
33,span,9,6,1,German
34,li,7,5,1,Greek
35,button,8,5,1,Greek
36,span,9,5,1,Greek
37,li,7,9,1,Hungarian
38,button,8,9,1,Hungarian
39,span,9,9,1,Hungarian
40,li,7,7,1,Italian
41,button,8,7,1,Italian
42,span,9,7,1,Italian
43,li,7,7,1,Latvian
44,button,8,7,1,Latvian
45,span,9,7,1,Latvian
46,li,7,10,1,Lithuanian
47,button,8,10,1,Lithuanian
48,span,9,10,1,Lithuanian
49,li,7,6,1,Polish
50,button,8,6,1,Polish
51,span,9,6,1,Polish
52,li,7,10,1,Portuguese
53,button,8,10,1,Portuguese
54,span,9,10,1,Portuguese
55,li,7,8,1,Romanian
56,button,8,8,1,Romanian
57,span,9,8,1,Romanian
58,li,7,6,1,Slovak
59,button,8,6,1,Slovak
60,span,9,6,1,Slovak
61,li,7,9,1,Slovenian
62,button,8,9,1,Slovenian
63,span,9,9,1,Slovenian
64,li,7,7,1,Spanish
65,button,8,7,1,Spanish
66,span,9,7,1,Spanish
67,li,7,7,1,Swedish
68,button,8,7,1,Swedish
69,span,9,7,1,Swedish
70,li,7,7,1,Russian
71,button,8,7,1,Russian
72,span,9,7,1,Russian
73,li,7,8,1,Japanese
74,button,8,8,1,Japanese
75,span,9,8,1,Japanese
76,li,7,7,1,Chinese
77,button,8,7,1,Chinese
78,span,9,7,1,Chinese
79,li,7,7,1,Maltese
80,button,8,7,1,Maltese
81,span,9,7,1,Maltese
82,li,7,5,1,Irish
83,button,8,5,1,Irish
84,span,9,5,1,Irish
85,li,7,8,1,Filipino
86,button,8,8,1,Filipino
87,span,9,8,1,Filipino
88,button,9,6,2,Log In
89,li,9,4,1,Home
90,a,10,4,1,Home
91,span,11,4,1,Home
92,li,9,11,2,Porn Videos
93,a,10,11,2,Porn Videos
94,span,11,11,2,Porn Videos
95,span,12,11,2,Porn Videos
96,li,9,10,1,Categories
97,a,10,10,1,Categories
98,span,11,10,1,Categories
99,span,12,10,1,Categories
100,li,9,9,2,LIVE CAMS
101,a,10,9,2,LIVE CAMS
102,span,11,9,2,LIVE CAMS
103,span,12,9,2,LIVE CAMS
104,li,9,9,1,Pornstars
105,a,10,9,1,Pornstars
106,span,11,9,1,Pornstars
107,span,12,9,1,Pornstars
108,li,9,11,2,BRAZZERS 4K
109,a,10,11,2,BRAZZERS 4K
110,span,11,11,2,BRAZZERS 4K
111,li,9,9,1,Community
112,a,10,9,1,Community
113,span,11,9,1,Community
114,span,12,9,1,Community
115,li,9,13,3,Photos & GIFs
116,a,10,13,3,Photos & GIFs
117,span,11,13,3,Photos & GIFs
118,span,12,13,3,Photos & GIFs
119,li,7,108,18,33:38 Evolved Fights 2.7K Yesterday Ariel Chats With Daisy and Tef About Their Recent Match - Evolved Fights
120,a,10,5,1,33:38
121,a,13,14,2,Evolved Fights
122,span,12,4,1,2.7K
123,span,11,72,13,Ariel Chats With Daisy and Tef About Their Recent Match - Evolved Fights
